Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-07-15,64.971,65.4192,56.9953,57.3718,2478222.0524181
2024-07-16,57.4255,57.6047,52.4249,54.6654,2721548.8196819
2024-07-17,54.9342,55.5077,53.1419,53.4286,786220.70145629
2024-07-18,53.7691,54.1098,51.0807,53.4824,851383.6851631
2024-07-19,53.3211,54.6654,53.3211,53.4107,367750.8403555
2024-07-22,53.8409,55.8662,53.7691,55.8303,402737.05564695
2024-07-23,56.0992,56.368,54.8624,55.5436,335076.7303836
2024-07-24,55.436,56.5473,55.0417,56.3143,319455.51302434
2024-07-25,55.221,56.0992,54.3786,56.0096,462766.98700341
2024-07-26,55.9199,56.852,55.5973,56.601,221913.0119153
2024-07-29,56.4576,56.9236,55.7228,56.4397,303271.89166842
2024-07-30,56.4576,56.9953,55.4898,55.669,258479.3146259
2024-07-31,56.0096,56.852,55.8303,56.619,306536.95931563
2024-08-01,56.4934,57.085,55.5615,56.0096,275192.97943104
2024-08-02,55.5615,56.0633,54.2173,54.5936,491553.36776039
2024-08-05,51.9948,53.2494,49.2884,52.5325,1523231.0532059
2024-08-06,53.3211,54.5936,52.873,53.5721,442402.15974385
2024-08-07,53.4645,54.1993,52.4249,53.8588,246271.57707962
2024-08-08,53.7691,54.6474,52.7834,54.3965,278001.65177144
2024-08-09,54.2352,54.8445,54.0022,54.4861,189059.24511114
2024-08-12,54.5578,56.0096,54.4861,56.0096,194011.52474828
2024-08-13,56.0275,57.766,55.5077,57.766,305030.52003889
2024-08-14,57.7839,57.7839,56.3322,56.9595,203863.63761813
2024-08-16,57.2462,59.9347,57.085,59.6838,461942.35098451
2024-08-19,59.6838,60.2573,59.1282,60.1319,248142.90942561
2024-08-20,60.1319,60.4366,59.1103,59.1461,204922.60863562
2024-08-21,59.1461,59.863,58.9668,59.8451,169589.35437005
2024-08-22,59.8272,60.2573,58.9668,59.8989,181637.52094109
2024-08-23,59.5942,60.1498,58.9848,59.6659,232588.64492309
2024-08-26,59.5942,59.7196,58.0707,58.8593,258133.39153273
2024-08-27,58.8414,60.4724,57.9632,60.4724,382144.58867446
2024-08-28,60.4007,61.1176,59.4328,61.0638,232597.57197066
2024-08-29,60.9384,61.5836,60.1319,60.4545,239305.13233544
2024-08-30,59.863,61.3864,59.6838,61.3148,228560.31470901
2024-09-02,60.9384,63.2684,60.3111,62.892,419710.72071244
2024-09-03,62.8741,63.4297,61.1176,61.1176,359807.9997838
2024-09-04,56.9057,58.0707,55.7766,55.9199,3033527.9303699
2024-09-05,56.1708,57.3,55.5615,55.5615,1132574.5246774
2024-09-06,55.7408,56.2964,55.1313,55.2568,821481.42346039
2024-09-09,55.454,56.2964,54.8445,54.8445,336542.99794629
2024-09-10,55.1851,56.1708,53.6616,54.2173,710200.19614754
2024-09-11,54.2173,54.988,52.5504,54.1814,701797.61262619
2024-09-12,54.9521,55.5077,54.3427,54.988,368471.69944644
2024-09-13,55.3822,55.7048,54.4503,55.5436,427401.37219041
2024-09-16,55.5077,56.4934,55.1492,55.9558,491484.18314175
2024-09-17,56.0454,56.7265,55.7228,56.1171,284596.5081607
2024-09-18,56.0992,56.2605,55.3464,55.4001,245749.34479702
2024-09-19,55.7766,56.2605,55.3285,55.8303,222759.96555311
2024-09-20,55.6152,56.2425,54.0918,54.0918,2166979.4231543
2024-09-23,54.6295,55.2568,54.1635,55.0417,217092.40622975
2024-09-24,55.4001,56.1708,55.1313,55.3643,210832.31412421
2024-09-25,55.5077,56.1888,55.0955,56.1888,242208.65455622
2024-09-26,56.2784,56.8699,56.0096,56.852,225086.57732495
2024-09-27,56.9057,56.9595,56.0275,56.7802,206631.02236354
2024-09-30,56.7981,57.5509,54.8266,54.988,368973.84587202
2024-10-01,54.988,56.135,54.7191,55.669,221554.81413172
2024-10-02,55.5794,56.2425,55.2031,55.3822,163474.32678745
2024-10-03,55.5615,59.1819,55.0417,56.8161,852476.13260897
2024-10-04,57.3179,57.6047,56.2784,56.7265,440142.50082874
2024-10-07,56.8161,57.4434,55.5257,55.5257,210763.12950557
2024-10-08,55.3643,56.9953,54.8624,56.9057,340044.63235399
2024-10-09,56.9057,57.766,56.4934,56.9953,312533.70351798
2024-10-10,57.1746,57.1746,55.8841,56.2425,321966.24515223
2024-10-11,56.2425,57.4972,56.2425,57.2283,266679.92369607
2024-10-14,57.4972,57.8735,55.7945,55.7945,235455.34307267
2024-10-15,55.7945,57.067,55.4719,56.4934,201118.57049163
2024-10-16,56.5652,56.619,55.0955,55.2389,319920.8353787
2024-10-17,55.5436,55.5615,54.1277,54.1456,293623.98501165
2024-10-18,54.2173,55.1134,54.2173,54.7191,178831.08036258
2024-10-21,54.97,58.5726,54.97,58.1603,907398.67687682
2024-10-22,58.25,58.5188,57.1746,58.3395,358897.44093208
2024-10-23,58.3395,58.5905,57.3538,57.8198,214541.50238781
2024-10-24,57.7123,59.9885,57.7123,59.7913,257627.89746431
2024-10-25,59.9168,60.2215,58.0886,58.0886,228254.56332988
2024-10-28,58.3575,59.2357,57.9094,58.8056,196185.26083056
2024-10-29,59.0386,59.63,58.3395,59.3433,265473.65639373
2024-10-30,59.4687,59.7196,57.0491,57.7481,399041.2579547
2024-10-31,57.766,58.9131,57.2821,58.1603,533882.07967474
2024-11-04,58.2679,60.4007,58.232,60.2752,426614.67612367
2024-11-05,60.3828,60.3828,59.2357,59.5045,197175.04722943
2024-11-06,59.8093,61.6553,59.8093,60.1319,260557.08494685
2024-11-07,60.4903,62.2288,60.4187,62.2288,305972.32355709
2024-11-08,62.2827,63.6269,61.1714,61.3327,512180.42704219
2024-11-12,61.8166,62.5156,61.4403,62.1213,317619.88886861
2024-11-13,62.1034,62.8562,61.6911,61.8704,238762.81419581
2024-11-14,62.1751,64.1646,62.0138,62.9099,491943.92609139
2024-11-15,63.1788,63.6269,62.7486,63.0892,193337.53265706
2024-11-18,63.0892,64.3438,62.3902,63.0174,350040.69386583
2024-11-19,63.0174,64.057,60.1319,61.4582,486655.76628958
2024-11-20,62.1572,63.1609,61.6911,62.7307,293820.3800581
2024-11-21,62.5515,62.8562,61.5836,62.6769,233871.90801068
2024-11-22,62.7307,63.0354,61.8525,62.6948,204573.33789961
2024-11-25,62.892,63.8777,62.659,63.4476,797474.36079397
2024-11-26,63.2146,63.7165,62.7307,63.4476,185741.73105948
2024-11-27,63.0174,64.0928,62.7307,62.9637,210700.64017261
2024-11-28,63.0892,63.6448,62.1751,62.6053,133421.42115707
2024-11-29,62.892,63.6627,62.6411,63.4656,178655.8870541
2024-12-02,63.6269,63.9316,62.9995,63.0354,171709.52816694
2024-12-03,63.4835,63.7344,62.659,63.0533,331780.41806992
2024-12-04,63.4118,64.971,62.8204,64.8815,687262.14742712
2024-12-05,64.8994,65.7776,64.8098,65.6522,283413.67435822
2024-12-06,65.7776,65.7776,64.7381,65.4012,251198.19145502
2024-12-09,65.5447,66.1361,64.8994,64.971,221326.05853785
2024-12-10,65.0607,65.2937,63.1967,64.2004,251187.03264556
2024-12-11,64.2363,64.5768,63.5372,64.0928,105546.71513275
2024-12-12,64.4872,64.7022,63.3581,63.8061,158729.60100621
2024-12-13,63.7344,64.2183,63.0533,63.3581,189504.48160848
2024-12-16,63.1967,63.8419,62.3364,62.9995,319158.68869277
2024-12-17,62.9995,63.2505,60.0781,60.7771,408908.99315778
2024-12-18,60.8846,61.6015,60.1856,60.9026,283524.14657185
2024-12-19,60.8308,60.8846,59.5045,60.6338,469905.27741324
2024-12-20,60.6338,61.0818,59.2716,60.4545,1578928.0188501
2024-12-23,60.4007,62.8741,60.4007,62.3185,333031.32061008
2024-12-27,62.3902,63.6448,62.0138,63.2325,199693.59052394
2024-12-30,63.2505,63.3939,62.6411,63.0892,170043.51791496
2025-01-02,63.6269,65.5805,62.9995,65.2758,408382.2973514
2025-01-03,65.4012,66.5662,64.8815,64.971,302588.97252964
2025-01-07,65.7776,68.8604,65.7417,68.2511,550274.3707675
2025-01-08,68.3765,68.95,66.9964,67.6058,299207.85326408
2025-01-09,67.6237,68.2869,66.5125,67.8388,261632.79417853
2025-01-10,67.8388,68.269,67.0322,67.7492,276966.1142538
2025-01-13,67.6595,67.7492,63.125,64.3796,575613.79528312
2025-01-14,64.3975,65.0607,63.2684,63.7882,314804.52124254
2025-01-15,63.9853,64.523,63.3939,64.523,297645.61994006
2025-01-16,64.5051,65.8673,64.3796,65.8673,204687.15775608
2025-01-17,65.8673,67.9642,65.4371,67.9463,376828.53184901
2025-01-20,68.018,69.6311,67.9822,69.416,363468.08928579
2025-01-21,69.3981,69.9,68.4481,69.3623,365684.22884401
2025-01-22,69.3802,69.6311,67.7671,69.4339,386391.63155391
2025-01-23,69.4339,69.8103,67.9822,68.1435,286617.36855341
2025-01-24,68.2869,68.8962,67.6058,68.2869,278753.75552886
2025-01-27,67.6595,67.9822,65.7956,66.7455,298228.10979373
2025-01-28,66.7813,67.1936,65.8314,66.9427,260595.02489901
2025-01-29,66.9964,67.3907,66.154,66.2257,163408.48981166
2025-01-30,66.4408,67.9822,66.4408,67.7671,261255.62641888
2025-01-31,62.7307,64.523,58.1783,58.7877,4086089.3277147
2025-02-03,58.7877,59.5045,56.8699,57.3538,1129151.0019359
2025-02-04,57.7123,60.4724,57.7123,57.8735,900328.45520468
2025-02-05,58.0169,58.5367,57.2821,57.7839,498452.85964783
2025-02-06,58.1962,58.931,57.6406,58.698,624778.39387101
2025-02-07,58.7877,59.0207,57.8735,57.8735,619443.36706948
2025-02-10,58.0169,58.7697,57.5151,58.5905,586763.67769285
2025-02-11,58.6263,59.2895,58.1065,58.1603,413787.62465251
2025-02-12,58.1603,58.3575,56.7802,57.2104,770776.9091674
2025-02-13,57.8915,59.4687,57.8915,58.9668,869438.638865
2025-02-14,59.0565,60.8846,58.698,60.4903,804682.95170338
2025-02-17,60.5799,61.7091,60.0601,61.3864,461687.93012889
2025-02-18,61.3864,61.9241,61.1176,61.5299,418812.43655113
2025-02-19,61.494,61.8346,60.7592,61.745,691880.7786615
2025-02-20,61.3864,62.0676,60.795,61.1714,503537.92911752
2025-02-21,61.2252,61.5299,60.8308,61.028,196370.49706755
2025-02-24,61.0459,61.7271,59.4149,60.1677,543910.50173401
2025-02-25,60.1856,60.4545,58.698,58.8952,433037.68684729
2025-02-26,59.3612,60.1677,58.716,60.0422,393322.36810783
2025-02-27,60.0422,60.0781,58.6263,59.1819,425501.02693983
2025-02-28,58.9668,59.2536,58.4112,59.1461,467319.78126198
2025-03-03,58.8235,59.4149,57.4613,59.3074,347582.40814239
2025-03-04,58.3575,59.0207,56.2246,56.4755,764824.80020288
2025-03-05,57.766,58.6084,57.6047,58.25,424533.55815988
2025-03-06,58.2858,58.5188,57.6406,58.1783,300407.42528074
2025-03-07,58.0528,58.4112,57.4613,58.232,185374.60622834
2025-03-10,58.3216,58.6442,56.9057,57.3538,318698.94574313
2025-03-11,57.3538,57.8915,57.1029,57.3718,255016.7360513
2025-03-12,57.6227,58.5367,57.5868,58.4651,233089.67546772
2025-03-13,58.4651,59.6121,58.0528,59.5404,343834.16404568
2025-03-14,59.5404,60.9205,59.5404,60.3111,434881.12216963
2025-03-17,60.329,60.7233,59.5942,60.0781,271486.02292932
