Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-09-08,77.4804,81.1424,77.0949,78.0587,1453.7921391685
2023-09-11,79.6005,80.7569,76.7094,77.0949,5033.7941949366
2023-09-12,77.8658,78.0587,76.7094,76.9023,12329.734616417
2023-09-13,77.0949,78.0587,77.0949,77.6732,2324.4071318611
2023-09-14,77.6732,78.0587,75.3603,77.2877,2773.7233319039
2023-09-15,78.0587,78.0587,75.7458,77.2877,3022.7669531747
2023-09-18,77.2877,78.0587,75.7458,76.1312,2523.6420288777
2023-09-19,77.0949,79.0223,77.0949,78.2514,15007.991226834
2023-09-20,78.2514,78.2514,76.7094,77.0949,5085.6782827014
2023-09-21,78.6369,78.6369,74.7821,76.5167,4258.6459237312
2023-09-22,78.0587,78.0587,76.5167,77.4804,6051.7599968812
2023-09-25,77.6732,78.0587,74.5894,77.0949,9174.1443985642
2023-09-26,77.6732,77.6732,75.553,76.1312,1358.3254176813
2023-09-27,77.6732,77.6732,75.9385,77.6732,8452.9555786341
2023-09-28,77.6732,77.6732,75.1676,75.1676,2110.6446902703
2023-09-29,76.7094,77.6732,74.7821,76.324,1855.3749784677
2023-10-02,77.8658,78.0587,75.7458,76.1312,12148.14030924
2023-10-03,77.0949,77.8658,75.3603,76.1312,4779.5621648893
2023-10-04,76.5167,76.9023,74.5894,76.9023,20382.145037507
2023-10-05,76.1312,77.0949,75.7458,76.7094,10142.301476255
2023-10-06,76.9023,77.0949,76.7094,77.0949,1851.2242514465
2023-10-09,77.0949,77.4804,75.1676,76.5167,35654.74511194
2023-10-10,76.9023,76.9023,74.5894,76.9023,9998.0637122685
2023-10-11,76.1312,76.9023,75.1676,76.1312,957.7802601374
2023-10-12,75.553,76.9023,75.1676,75.9385,3375.578749975
2023-10-13,75.1676,77.0949,75.1676,75.9385,3419.1613836974
2023-10-16,75.9385,75.9385,74.2039,75.9385,7468.195592859
2023-10-17,76.1312,77.0949,75.1676,76.9023,2681.3696556826
2023-10-18,76.5167,77.8658,76.1312,77.8658,2360.7259932964
2023-10-19,77.8658,77.8658,75.1676,76.7094,5533.9568009889
2023-10-20,76.7094,76.7094,75.3603,75.553,397.43211227803
2023-10-23,75.553,76.1312,75.1676,75.1676,5050.3971030214
2023-10-24,74.3966,75.1676,74.2039,74.2039,703.54823009009
2023-10-25,74.2039,75.1676,74.2039,74.9748,1832.5459798512
2023-10-26,74.2039,74.7821,68.0362,70.9273,7586.4913129626
2023-10-27,70.9273,72.6619,69.9637,72.6619,3457.5556086433
2023-10-30,72.2765,74.3966,70.3491,73.6257,2605.6188875461
2023-10-31,74.3966,74.7821,72.4692,74.0112,7973.5466076877
2023-11-02,74.0112,74.2039,72.8548,73.4329,17193.349003485
2023-11-03,73.0474,74.0112,71.3128,71.6983,4180.819792084
2023-11-06,71.6983,75.1676,71.6983,73.2402,1655.1023996957
2023-11-07,72.8548,77.0949,72.8548,76.5167,2189.5085036727
2023-11-08,73.4329,75.1676,73.2402,73.2402,5702.0612453467
2023-11-09,73.0474,77.4804,73.0474,76.1312,8310.7931781586
2023-11-10,74.7821,78.0587,74.7821,76.5167,10612.371311403
2023-11-13,77.0949,78.2514,77.0949,78.0587,4278.3618770818
2023-11-14,78.4441,81.7207,77.0949,80.3714,9117.0719020229
2023-11-15,81.1424,81.7207,79.215,80.9497,11881.456098129
2023-11-16,80.9497,81.3352,79.4078,79.4078,3353.7874331138
2023-11-17,79.4078,79.4078,77.8658,78.4441,667.22936865476
2023-11-20,78.6369,79.0223,77.4804,78.2514,1078.1513437516
2023-11-21,78.2514,79.7932,78.0587,79.4078,2382.5173101576
2023-11-22,79.4078,79.7932,79.0223,79.0223,1754.7198482041
2023-11-23,79.986,80.9497,79.0223,79.986,3696.2224123612
2023-11-24,80.3714,80.9497,79.986,79.986,3820.7442229966
2023-11-27,78.2514,80.1787,78.0587,78.2514,12165.78089908
2023-11-28,79.215,79.4078,78.2514,78.8295,422.33647440511
2023-11-29,78.2514,82.6843,78.2514,81.9133,12745.84500029
2023-11-30,81.9133,86.3464,79.4078,84.8044,15548.623421343
2023-12-01,84.8044,86.3464,84.6118,86.3464,3507.3643328975
2023-12-04,86.539,87.5028,84.8044,84.8044,6364.102205225
2023-12-05,84.8044,85.3826,84.8044,85.1899,677.60618620771
2023-12-06,85.3826,85.9609,84.8044,85.7681,2719.7638806285
2023-12-07,85.7681,85.7681,84.4189,84.8044,4162.1415204887
2023-12-08,84.8044,85.1899,84.8044,84.9972,1462.0935932108
2023-12-11,84.9972,85.5753,84.8044,84.8044,6055.9107239023
2023-12-12,84.9972,85.5753,84.8044,85.1899,3486.6106977916
